Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Souvenir Lukis Semarang Ghoghos Handmade,https://lh5.googleusercontent.com/p/AF1QipNNPKizmvjS8rABfgLuz9ueNMAUtvNajG2ip9JC=w80-h106-k-no,https://www.google.com/maps/place/Souvenir+Lukis+Semarang+Ghoghos+Handmade/data=!4m7!3m6!1s0x2e706196bd6737f5:0x6a3059358e386fbb!8m2!3d-7.0533161!4d110.3267544!16s%2Fg%2F11h2qml918!19sChIJ9TdnvZZhcC4Ru284jjVZMGo?authuser=0&hl=id&rclk=1,"5,0",26,Toko Suvenir,"Jl. Sidodadi, RT.001/RW.003",Buka Sab pukul 08.00
Elyunesia Souvenir,https://lh5.googleusercontent.com/p/AF1QipN1BG874ulYrg843dqxRHb14tuk0L180tfeVb0M=w122-h92-k-no,https://www.google.com/maps/place/Elyunesia+Souvenir/data=!4m7!3m6!1s0x2e706341bbadb33f:0xed695031d41469d6!8m2!3d-7.0730367!4d110.3086741!16s%2Fg%2F11rf7ck4ms!19sChIJP7Otu0FjcC4R1mkU1DFQae0?authuser=0&hl=id&rclk=1,,,Toko Suvenir,Jl. Taman Jeruk II - A10 no.19,
Bintang Souvenir,https://lh5.googleusercontent.com/p/AF1QipNibA-U5KsYBomLPts_PcJW7JgoR-u9FzjpjMtW=w92-h92-k-no,https://www.google.com/maps/place/Bintang+Souvenir/data=!4m7!3m6!1s0x2e706025e275b787:0x8165c165927413a7!8m2!3d-7.0094411!4d110.3250314!16s%2Fg%2F11f3vnm3zf!19sChIJh7d14iVgcC4RpxN0kmXBZYE?authuser=0&hl=id&rclk=1,"4,5",12,Toko Perlengkapan Rumah,0856-0006-3942,Buka Sab pukul 09.00
Doha Oleh Oleh Timur Tengah,https://lh5.googleusercontent.com/p/AF1QipNnGqBs5Twm3DT6bvPAeYrprfPvHK5J9NKCL9Cj=w163-h92-k-no,https://www.google.com/maps/place/Doha+Oleh+Oleh+Timur+Tengah/data=!4m7!3m6!1s0x2e708b021436d15f:0x69f8bd51fe7a43a9!8m2!3d-7.0119617!4d110.3798121!16s%2Fg%2F11dyn9dhzw!19sChIJX9E2FAKLcC4RqUN6_lG9-Gk?authuser=0&hl=id&rclk=1,"4,4",5,Toko Suvenir,"Jalan Untung Suropati No.4, Kembang Arum, Semarang Barat",Buka Sab pukul 08.00
Souvenir Gelas Frost Semarang,https://lh5.googleusercontent.com/p/AF1QipN9h07_z3ub4_UDe34dxVQqB-UjBVCz3U1eshqq=w80-h106-k-no,https://www.google.com/maps/place/Souvenir+Gelas+Frost+Semarang/data=!4m7!3m6!1s0x2e70625193e401d7:0x735da2bab6bab772!8m2!3d-7.0934327!4d110.2899612!16s%2Fg%2F11c1vq054f!19sChIJ1wHkk1FicC4Rcre6trqiXXM?authuser=0&hl=id&rclk=1,"3,8",29,Toko Suvenir,0857-2790-2803,
"Souvenir Mug dan PIN Yoeco GBGM. Desa Wisata Wonolopo, Semarang Barat",https://lh5.googleusercontent.com/p/AF1QipNJymXq8x5iIvQR7NEQADR1gI2yGyo5BR9ojnaT=w92-h92-k-no,"https://www.google.com/maps/place/Souvenir+Mug+dan+PIN+Yoeco+GBGM.+Desa+Wisata+Wonolopo,+Semarang+Barat/data=!4m7!3m6!1s0x2e70614f4b8a6871:0xafdd90f60dc5e663!8m2!3d-7.0563553!4d110.3115871!16s%2Fg%2F11h6cs6crc!19sChIJcWiKS09hcC4RY-bFDfaQ3a8?authuser=0&hl=id&rclk=1","5,0",3,Pusat Perbelanjaan,"W8V6+FJ4, Unnamed Road",Buka Sab pukul 08.00
Arizqi Undangan,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h1K_p83ZzCH45avfAzuxAw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=295.5329&pitch=0&thumbfov=100,https://www.google.com/maps/place/Arizqi+Undangan/data=!4m7!3m6!1s0x2e7061706039dfe9:0x6350e7d19007db0f!8m2!3d-7.0557569!4d110.3060579!16s%2Fg%2F11lgqh654w!19sChIJ6d85YHBhcC4RD9sHkNHnUGM?authuser=0&hl=id&rclk=1,,,Toko Suvenir,jln kepodang. rt 1rw 5,
Waroeng Souvenir,https://lh5.googleusercontent.com/p/AF1QipPBwiZR01XtHbPJTPY_1saijyd6lPIZGfvLYcTe=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Souvenir/data=!4m7!3m6!1s0x2e708ae7d5c3f6af:0x5c8d840d8a35b4df!8m2!3d-7.0221244!4d110.3755398!16s%2Fg%2F1pztr7wx0!19sChIJr_bD1eeKcC4R37Q1ig2EjVw?authuser=0&hl=id&rclk=1,"4,4",16,Toko Suvenir,"Gg. Gisik Sari 3 No.47, RT.4/RW.4",Buka Sab pukul 09.30
ASKARA CREATIVE,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UXU0YYznwjZMY_64bvVcoA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=17.966673&pitch=0&thumbfov=100,https://www.google.com/maps/place/ASKARA+CREATIVE/data=!4m7!3m6!1s0x2e7061b8c01c7193:0xcd8112917204d8a5!8m2!3d-7.0509348!4d110.3034714!16s%2Fg%2F11hgms9v66!19sChIJk3EcwLhhcC4RpdgEcpESgc0?authuser=0&hl=id&rclk=1,"5,0",1,Toko,"W8X3+J9H, Jalan, RT.4/RW.4",
Toko Souvenir : Kraskress_craft,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W2oMupw_Wk7yMmPCfbwiVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=313.138&pitch=0&thumbfov=100,https://www.google.com/maps/place/Toko+Souvenir+:+Kraskress_craft/data=!4m7!3m6!1s0x2e70618243313a61:0xd3fa30afcbe06cc9!8m2!3d-6.9955139!4d110.3248357!16s%2Fg%2F11gmg5y2v8!19sChIJYToxQ4JhcC4RyWzgy68w-tM?authuser=0&hl=id&rclk=1,"5,0",1,Toko,"283F+QWW, Jl. Bukit Beringin Tim. IV",Buka Sab pukul 07.00
Souvenir Fi'e Craft,https://lh5.googleusercontent.com/p/AF1QipPqwFuGgsgaZ0L9SWsegzWp1bRUhMt3h_LbZtUt=w102-h92-k-no,https://www.google.com/maps/place/Souvenir+Fi%27e+Craft/data=!4m7!3m6!1s0x2e708b51e52a1ef3:0xcea2c1f033d51407!8m2!3d-7.0596547!4d110.3487239!16s%2Fg%2F11gznngkhh!19sChIJ8x4q5VGLcC4RBxTVM_DBos4?authuser=0&hl=id&rclk=1,"4,0",1,Toko,Jatirejo rt 01/rw01,Buka Sab pukul 08.00
Sorayas olshop souvenir,https://lh5.googleusercontent.com/p/AF1QipPG4iWM1LEnIIgPWaaqDec0-kuKyGOmLmp_RZrs=w92-h92-k-no,https://www.google.com/maps/place/Sorayas+olshop+souvenir/data=!4m7!3m6!1s0x2e706359297f115f:0xba8ef110f8f23ebc!8m2!3d-7.1049471!4d110.2668043!16s%2Fg%2F11hz2qblr8!19sChIJXxF_KVljcC4RvD7y-BDxjro?authuser=0&hl=id&rclk=1,,,Toko Suvenir Pernikahan,Ex kawedanan,Buka Sab pukul 08.00